grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,2 | 70-79 | obesity,18,30,811.5,907.0,0.22474876856250126,-0.21296296296296297,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,2 | 60-69 | obesity,18,22,811.5,794.5,0.989151491294007,-0.005050505050505051,negligible,0.989151491294007,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | overweight,2 | 60-69 | normal,18,14,811.5,880.5,0.19647090463193972,-0.27380952380952384,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | overweight,2 | 70-79 | normal,11,26,862.0,880.5,0.8680200278061598,-0.038461538461538464,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | overweight,1 | 80+ | normal,11,12,862.0,893.5,0.2548715759015092,-0.2878787878787879,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | overweight,2 | 70-79 | obesity,11,30,862.0,907.0,0.8714304606883128,-0.03636363636363636,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | overweight,2 | 60-69 | obesity,11,22,862.0,794.5,0.5285776765499751,0.14049586776859505,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | overweight,2 | 60-69 | normal,11,14,862.0,880.5,0.8911396975985915,-0.03896103896103896,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | normal,1 | 80+ | normal,26,12,880.5,893.5,0.34605641550581134,-0.1955128205128205,small,0.7467507046013109,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | normal,2 | 70-79 | obesity,26,30,880.5,907.0,0.7424591819239987,-0.052564102564102565,negligible,0.8971896951808154,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | normal,2 | 60-69 | obesity,26,22,880.5,794.5,0.31054352260417595,0.17307692307692307,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | normal,2 | 60-69 | normal,26,14,880.5,880.5,0.9321909915122784,-0.019230769230769232,negligible,0.9502917874639731,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | normal,2 | 70-79 | obesity,12,30,893.5,907.0,0.6559491114253002,0.09166666666666666,negligible,0.8503044036994633,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | normal,2 | 60-69 | obesity,12,22,893.5,794.5,0.05847589680515695,0.4015151515151515,medium,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 80+ | normal,2 | 60-69 | normal,12,14,893.5,880.5,0.3035431693728,0.24404761904761904,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | obesity,2 | 60-69 | obesity,30,22,907.0,794.5,0.3039301529543692,0.1696969696969697,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | obesity,2 | 60-69 | normal,30,14,907.0,880.5,0.949769451744614,0.014285714285714285,negligible,0.9589018503190815,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 60-69 | obesity,2 | 60-69 | normal,22,14,794.5,880.5,0.2297373646804629,-0.2435064935064935,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 60-69 | normal,50,48,68.5,71.5,0.11194045383750886,-0.18666666666666668,small,0.6848002871548838,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,2 | 70-79 | overweight,50,35,68.5,71.0,0.31257821443443,-0.12971428571428573,negligible,0.795373791872899,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 70-79 | obesity,50,54,68.5,70.5,0.11516367175764103,-0.17962962962962964,small,0.6848002871548838,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 70-79 | overweight,50,51,68.5,69.0,0.8172399985113223,-0.027058823529411764,negligible,0.9534466649298761,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 60-69 | overweight,50,41,68.5,74.0,0.017742446989075955,-0.29024390243902437,small,0.6254425672475066,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 70-79 | low,50,12,68.5,73.0,0.14126293415336677,-0.27666666666666667,small,0.7017958011200839,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,1 | 60-69 | obesity,50,69,68.5,70.0,0.18234677312629233,-0.14376811594202898,negligible,0.7017958011200839,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,1 | 70-79 | normal,2 | 60-69 | overweight,50,18,68.5,74.0,0.07157551028637447,-0.28888888888888886,small,0.6254425672475066,False,sex__age_group__bmi_cat
