grouping_variable,value_variable,group_a,group_b,p_adj,combined_grouping
sex__bmi_cat,t2m_pre_sdnn,2 | low,2 | normal,0.06538201517240615,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,2 | low,2 | obesity,0.19703019790895715,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,2 | low,2 | overweight,0.19721761844662747,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,2 | normal,2 | obesity,0.19703019790895715,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,2 | normal,2 | overweight,0.18291373752568058,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,2 | obesity,2 | overweight,0.945618962136934,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,1 | normal,0.8404191185967846,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,1 | obesity,0.904472098613911,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,1 | overweight,0.8177495847429591,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,2 | low,0.9274633321043552,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,2 | normal,0.8404191185967846,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,2 | obesity,0.9137550541978299,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | low,2 | overweight,0.7523079828957253,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,1 | obesity,0.8177495847429591,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,1 | overweight,0.9274633321043552,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,2 | low,0.8404191185967846,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,2 | normal,0.9274633321043552,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,2 | obesity,0.33925022559484486,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | normal,2 | overweight,0.030376689361852408,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | obesity,1 | overweight,0.7523079828957253,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | obesity,2 | low,0.8970620189948958,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | obesity,2 | normal,0.8633424173163371,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | obesity,2 | obesity,0.7523079828957253,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | obesity,2 | overweight,0.11640236430067037,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | overweight,2 | low,0.8404191185967846,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | overweight,2 | normal,0.9187555109352339,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | overweight,2 | obesity,0.3093868174890362,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,1 | overweight,2 | overweight,0.030376689361852408,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | low,2 | normal,0.8404191185967846,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | low,2 | obesity,0.9856590719340358,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | low,2 | overweight,0.8633424173163371,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | normal,2 | obesity,0.6991666218791446,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | normal,2 | overweight,0.11640236430067037,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,2 | obesity,2 | overweight,0.7523079828957253,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,1 | normal,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,1 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,1 | overweight,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,2 | low,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,2 | normal,0.9735091016844686,sex__bmi_cat
