variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
height_m_final,1,6,mannwhitneyu,4343.0,0.07535535224130702,0.15443912812333865,1.56,1.5,0.06000000000000005,1.5616161616161615,1.5361842105263157,99,76,0.1463194734496841
height_m_final,2,3,mannwhitneyu,1320.0,0.39703690813298187,-0.09465020576131687,1.5550000000000002,1.57,-0.014999999999999902,1.557222222222222,1.5790740740740743,54,54,0.4692878310086371
height_m_final,2,4,mannwhitneyu,1134.5,0.002788367136961197,-0.32228195937873355,1.5550000000000002,1.6150000000000002,-0.06000000000000005,1.557222222222222,1.6106451612903225,54,62,0.012603874417193532
height_m_final,2,5,mannwhitneyu,2403.0,0.2688642302798244,0.1125,1.5550000000000002,1.53,0.025000000000000133,1.557222222222222,1.53725,54,80,0.3764099223917542
height_m_final,2,6,mannwhitneyu,2262.5,0.3136652586274674,0.10258284600389864,1.5550000000000002,1.5,0.05500000000000016,1.557222222222222,1.5361842105263157,54,76,0.411685651948551
height_m_final,3,4,mannwhitneyu,1383.0,0.10661692376794138,-0.17383512544802868,1.57,1.6150000000000002,-0.04500000000000015,1.5790740740740743,1.6106451612903225,54,62,0.18657961659389743
height_m_final,3,5,mannwhitneyu,2645.5,0.026989261610068364,0.2247685185185185,1.57,1.53,0.040000000000000036,1.5790740740740743,1.53725,54,80,0.07084681172642945
height_m_final,3,6,mannwhitneyu,2534.0,0.020313425924600934,0.23489278752436646,1.57,1.5,0.07000000000000006,1.5790740740740743,1.5361842105263157,54,76,0.0609402777738028
height_m_final,4,5,mannwhitneyu,3562.5,7.62610915688485e-06,0.43649193548387094,1.6150000000000002,1.53,0.08500000000000019,1.6106451612903225,1.53725,62,80,0.00013061364669340728
height_m_final,4,6,mannwhitneyu,3357.5,1.2439394923181645e-05,0.42508488964346347,1.6150000000000002,1.5,0.11500000000000021,1.6106451612903225,1.5361842105263157,62,76,0.00013061364669340728
