experiment_id,label_file,algorithm,family,space_name,params_json
162,../../results/clustering_exploration/labels/labels_exp_00162.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 28}"
163,../../results/clustering_exploration/labels/labels_exp_00163.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 28}"
164,../../results/clustering_exploration/labels/labels_exp_00164.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 28}"
165,../../results/clustering_exploration/labels/labels_exp_00165.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 28}"
166,../../results/clustering_exploration/labels/labels_exp_00166.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 29}"
167,../../results/clustering_exploration/labels/labels_exp_00167.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 29}"
168,../../results/clustering_exploration/labels/labels_exp_00168.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 29}"
169,../../results/clustering_exploration/labels/labels_exp_00169.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 29}"
170,../../results/clustering_exploration/labels/labels_exp_00170.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""full"", ""n_components"": 30}"
171,../../results/clustering_exploration/labels/labels_exp_00171.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""diag"", ""n_components"": 30}"
172,../../results/clustering_exploration/labels/labels_exp_00172.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""tied"", ""n_components"": 30}"
173,../../results/clustering_exploration/labels/labels_exp_00173.csv,gmm,model-based,hrv_raw_scaled,"{""covariance_type"": ""spherical"", ""n_components"": 30}"
174,../../results/clustering_exploration/labels/labels_exp_00174.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""ward"", ""n_clusters"": 2}"
175,../../results/clustering_exploration/labels/labels_exp_00175.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""complete"", ""n_clusters"": 2}"
176,../../results/clustering_exploration/labels/labels_exp_00176.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""average"", ""n_clusters"": 2}"
177,../../results/clustering_exploration/labels/labels_exp_00177.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""single"", ""n_clusters"": 2}"
178,../../results/clustering_exploration/labels/labels_exp_00178.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""ward"", ""n_clusters"": 3}"
179,../../results/clustering_exploration/labels/labels_exp_00179.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""complete"", ""n_clusters"": 3}"
180,../../results/clustering_exploration/labels/labels_exp_00180.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""average"", ""n_clusters"": 3}"
181,../../results/clustering_exploration/labels/labels_exp_00181.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""single"", ""n_clusters"": 3}"
182,../../results/clustering_exploration/labels/labels_exp_00182.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""ward"", ""n_clusters"": 4}"
183,../../results/clustering_exploration/labels/labels_exp_00183.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""complete"", ""n_clusters"": 4}"
184,../../results/clustering_exploration/labels/labels_exp_00184.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""average"", ""n_clusters"": 4}"
185,../../results/clustering_exploration/labels/labels_exp_00185.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""single"", ""n_clusters"": 4}"
186,../../results/clustering_exploration/labels/labels_exp_00186.csv,agglomerative,hierarchical-distance,hrv_raw_scaled,"{""linkage"": ""ward"", ""n_clusters"": 5}"
